 Position       |   E(B-V) (mag)   | NHI (atoms cm-2)    | NH2 (atoms cm-2)    | NH,tot (atoms cm-2) |
                    | Mean  | Weighted |  Mean    | Weighted |  Mean    | Weighted |   Mean   | Weighted |
J 249.27499, 44.26980| 0.011 | 0.011    | 8.96e+19 | 8.85e+19 | 2.66e+18 | 2.74e+18 | 9.23e+19 | 9.12e+19 |
J 174.01391, 55.07423| 0.013 | 0.012    | 9.89e+19 | 9.44e+19 | 3.46e+18 | 3.20e+18 | 1.02e+20 | 9.76e+19 |
J 252.56530, 23.57965| 0.058 | 0.059    | 4.19e+20 | 4.18e+20 | 8.70e+19 | 8.83e+19 | 5.06e+20 | 5.07e+20 |
J 152.56819, 54.50128| 0.008 | 0.008    | 7.46e+19 | 7.72e+19 | 1.57e+18 | 1.67e+18 | 7.62e+19 | 7.89e+19 |
J 181.10266, 42.56225| 0.013 | 0.013    | 1.17e+20 | 1.16e+20 | 4.33e+18 | 4.30e+18 | 1.22e+20 | 1.20e+20 |
J 249.27679, 44.26868| 0.011 | 0.011    | 8.96e+19 | 8.85e+19 | 2.66e+18 | 2.74e+18 | 9.23e+19 | 9.12e+19 |
J 206.30039, 23.07468| 0.014 | 0.014    | 1.28e+20 | 1.28e+20 | 5.32e+18 | 5.32e+18 | 1.34e+20 | 1.34e+20 |
J 239.63252, 18.02199| 0.043 | 0.044    | 3.15e+20 | 3.17e+20 | 4.67e+19 | 4.77e+19 | 3.62e+20 | 3.65e+20 |
J 162.18816, 22.21327| 0.027 | 0.026    | 1.70e+20 | 1.59e+20 | 1.43e+19 | 1.27e+19 | 1.85e+20 | 1.72e+20 |
J 146.84111, 54.47208| 0.011 | 0.011    | 1.15e+20 | 1.18e+20 | 3.40e+18 | 3.57e+18 | 1.19e+20 | 1.22e+20 |
J 203.28141, 32.51451| 0.012 | 0.012    | 9.87e+19 | 9.87e+19 | 3.14e+18 | 3.17e+18 | 1.02e+20 | 1.02e+20 |
J 230.04475, 25.72092| 0.047 | 0.046    | 4.04e+20 | 3.99e+20 | 6.67e+19 | 6.49e+19 | 4.70e+20 | 4.64e+20 |
+===================+=======+==========+==========+==========+==========+==========+==========+==========+
